# Python MESMA for LE07_LT05_20111026_20111027_20200121 run on 20200123 
#  MESMA frac range = 0.2-1 
#  Northings (y); Latitude; Eastings (x) Longitude; Kelp Fraction
4305060 38.8923203 439320 -123.6996965 0.41732
4305060 38.8923224 439350 -123.6993506 0.39295
4305060 38.8923245 439380 -123.6990047 0.29762
4305060 38.8923369 439560 -123.6969293 0.24593
4305060 38.8923389 439590 -123.6965834 0.30847
4305060 38.8923410 439620 -123.6962375 0.25380
4305060 38.8923431 439650 -123.6958916 0.25380
4305060 38.8923492 439740 -123.6948539 0.25346
4305030 38.8920438 439230 -123.7007316 0.35038
4305030 38.8920458 439260 -123.7003857 0.38398
4305030 38.8920479 439290 -123.7000398 0.39259
4305030 38.8920500 439320 -123.6996939 0.47735
4305030 38.8920521 439350 -123.6993480 0.64261
4305030 38.8920541 439380 -123.6990021 0.57212
4305030 38.8920562 439410 -123.6986562 0.37211
4305030 38.8920686 439590 -123.6965808 0.30763
4305030 38.8920707 439620 -123.6962349 0.24593
4305030 38.8920769 439710 -123.6951972 0.31118
4305000 38.8917755 439260 -123.7003830 0.33903
4305000 38.8917776 439290 -123.7000371 0.33048
4305000 38.8917797 439320 -123.6996912 0.31951
4305000 38.8917817 439350 -123.6993453 0.68133
4305000 38.8917838 439380 -123.6989994 0.79356
4305000 38.8917859 439410 -123.6986535 0.50093
4305000 38.8917880 439440 -123.6983076 0.26722
4305000 38.8917983 439590 -123.6965781 0.37238
4305000 38.8918003 439620 -123.6962322 0.29343
4305000 38.8918024 439650 -123.6958863 0.25399
4304970 38.8915114 439350 -123.6993427 0.31596
4304970 38.8915135 439380 -123.6989968 0.83333
4304970 38.8915156 439410 -123.6986509 0.82670
4304970 38.8915176 439440 -123.6983050 0.36951
4304970 38.8915280 439590 -123.6965755 0.29343
4304970 38.8915321 439650 -123.6958837 0.31951
4304970 38.8915383 439740 -123.6948460 0.24615
4304940 38.8912432 439380 -123.6989941 0.29313
4304940 38.8912452 439410 -123.6986482 0.85666
4304940 38.8912473 439440 -123.6983023 0.38494
4304940 38.8912556 439560 -123.6969187 0.36562
4304940 38.8912576 439590 -123.6965729 0.33385
4304940 38.8912597 439620 -123.6962270 0.28422
4304940 38.8912618 439650 -123.6958811 0.31141
4304940 38.8912638 439680 -123.6955352 0.28422
4304910 38.8909749 439410 -123.6986456 0.38463
4304910 38.8909770 439440 -123.6982997 0.25343
4304910 38.8909852 439560 -123.6969161 0.35058
4304910 38.8909935 439680 -123.6955325 0.31081
4304910 38.8909956 439710 -123.6951866 0.26917
4304910 38.8909976 439740 -123.6948407 0.24954
4304910 38.8909997 439770 -123.6944948 0.25343
4304880 38.8907129 439530 -123.6972594 0.29254
4304880 38.8907149 439560 -123.6969135 0.28838
4304880 38.8907170 439590 -123.6965676 0.40428
4304880 38.8907293 439770 -123.6944922 0.25279
4304850 38.8904425 439530 -123.6972567 0.35059
