# Python MESMA for LT05_LE07_20061020_20061021 run on 20200126 
#  MESMA frac range = 0.2-1 
#  Northings (y); Latitude; Eastings (x) Longitude; Kelp Fraction
4300230 38.8490094 442470 -123.6629720 0.33067
4300230 38.8490114 442500 -123.6626263 0.44270
4300230 38.8490133 442530 -123.6622806 0.48399
4300230 38.8490153 442560 -123.6619349 0.33964
4300230 38.8490212 442650 -123.6608979 0.33535
4300200 38.8487430 442530 -123.6622781 0.38728
4300200 38.8487450 442560 -123.6619324 0.37215
4300170 38.8484746 442560 -123.6619299 0.35318
4300170 38.8484766 442590 -123.6615842 0.26746
4300170 38.8484805 442650 -123.6608929 0.22059
4300170 38.8484825 442680 -123.6605472 0.29519
4300140 38.8482043 442560 -123.6619274 0.28413
4300140 38.8482063 442590 -123.6615817 0.35569
4300140 38.8482082 442620 -123.6612360 0.25517
4300140 38.8482102 442650 -123.6608904 0.26585
4300140 38.8482121 442680 -123.6605447 0.39131
4300140 38.8482141 442710 -123.6601990 0.43988
4300140 38.8482160 442740 -123.6598533 0.37878
4300110 38.8479359 442590 -123.6615792 0.28841
4300110 38.8479379 442620 -123.6612335 0.35464
4300110 38.8479399 442650 -123.6608879 0.34334
4300110 38.8479418 442680 -123.6605422 0.47060
4300110 38.8479438 442710 -123.6601965 0.51064
4300110 38.8479457 442740 -123.6598508 0.54080
4300110 38.8479477 442770 -123.6595051 0.25103
4300080 38.8476676 442620 -123.6612310 0.24364
4300080 38.8476695 442650 -123.6608854 0.31026
4300080 38.8476715 442680 -123.6605397 0.47139
