# Python MESMA for LE07_LT05_19990831_19991102 run on 20200126 
#  MESMA frac range = 0.2-1 
#  Northings (y); Latitude; Eastings (x) Longitude; Kelp Fraction
4358100 39.3694318 428790 -123.8266751 0.36002
4357860 39.3672620 428700 -123.8276943 0.70908
4357860 39.3672645 428730 -123.8273461 0.70932
4357860 39.3672669 428760 -123.8269978 0.59689
4357860 39.3672694 428790 -123.8266496 0.49721
4357860 39.3672719 428820 -123.8263014 0.32332
4357860 39.3672744 428850 -123.8259532 0.43781
4357830 39.3669867 428640 -123.8283875 0.34293
4357830 39.3669892 428670 -123.8280393 0.43971
4357830 39.3669917 428700 -123.8276911 0.64135
4357830 39.3669942 428730 -123.8273429 0.75168
4357830 39.3669966 428760 -123.8269946 0.71895
4357830 39.3669991 428790 -123.8266464 0.50114
4357830 39.3670016 428820 -123.8262982 0.35610
4357830 39.3670041 428850 -123.8259500 0.54282
4357830 39.3670065 428880 -123.8256018 0.92651
4357830 39.3670090 428910 -123.8252535 0.95192
4357800 39.3667214 428700 -123.8276879 0.46261
4357800 39.3667239 428730 -123.8273397 0.69793
4357800 39.3667264 428760 -123.8269915 0.66337
4357800 39.3667288 428790 -123.8266432 0.57426
4357800 39.3667313 428820 -123.8262950 0.50620
4357800 39.3667338 428850 -123.8259468 0.38831
4357800 39.3667362 428880 -123.8255986 0.45593
4357800 39.3667387 428910 -123.8252504 0.63542
4357770 39.3664561 428760 -123.8269883 0.37369
4357770 39.3664585 428790 -123.8266401 0.48994
4357770 39.3664610 428820 -123.8262918 0.57721
4357770 39.3664635 428850 -123.8259436 0.33919
4357770 39.3664659 428880 -123.8255954 0.37183
4357770 39.3664684 428910 -123.8252472 0.59864
4357740 39.3661907 428820 -123.8262886 0.40380
4357740 39.3661932 428850 -123.8259404 0.40870
4357740 39.3661957 428880 -123.8255922 0.35749
4357740 39.3661981 428910 -123.8252440 0.56677
4357710 39.3659254 428880 -123.8255890 0.31757
4357710 39.3659278 428910 -123.8252408 0.46969
4357710 39.3659303 428940 -123.8248926 0.77232
4357710 39.3659426 429090 -123.8231515 0.40927
4357710 39.3659451 429120 -123.8228033 0.31076
4357680 39.3656575 428910 -123.8252376 0.37057
4357680 39.3656600 428940 -123.8248894 0.57792
4357680 39.3656723 429090 -123.8231483 0.46700
4357680 39.3656748 429120 -123.8228001 0.38848
4357680 39.3656773 429150 -123.8224519 0.64694
4357650 39.3653922 428970 -123.8245380 0.42039
4357650 39.3653946 429000 -123.8241898 0.54845
4357650 39.3653971 429030 -123.8238416 0.87543
4357650 39.3653996 429060 -123.8234934 0.71959
4357650 39.3654020 429090 -123.8231452 0.63168
4357650 39.3654045 429120 -123.8227969 0.57347
4357650 39.3654070 429150 -123.8224487 0.66076
4357620 39.3651243 429000 -123.8241866 0.33505
4357620 39.3651268 429030 -123.8238384 0.48191
4357620 39.3651293 429060 -123.8234902 0.80521
4357620 39.3651317 429090 -123.8231420 0.81638
4357590 39.3648540 429000 -123.8241834 0.28991
4357590 39.3648565 429030 -123.8238352 0.32056
4357590 39.3648590 429060 -123.8234870 0.57902
4357560 39.3645911 429090 -123.8231356 0.38848
4357530 39.3643233 429120 -123.8227842 0.33671
4357530 39.3643258 429150 -123.8224360 0.52238
4357530 39.3643356 429270 -123.8210432 0.45612
4357530 39.3643381 429300 -123.8206950 0.64024
4357500 39.3640555 429150 -123.8224329 0.34728
4357500 39.3640579 429180 -123.8220847 0.39817
4357500 39.3640604 429210 -123.8217365 0.55761
4357500 39.3640629 429240 -123.8213882 0.60853
4357500 39.3640653 429270 -123.8210400 0.64566
4357500 39.3640678 429300 -123.8206918 0.72605
4357500 39.3640702 429330 -123.8203436 0.63032
4357470 39.3637581 428820 -123.8262600 0.32454
4357470 39.3637901 429210 -123.8217333 0.38202
4357470 39.3637926 429240 -123.8213851 0.43344
4357470 39.3637950 429270 -123.8210369 0.39905
4357470 39.3637975 429300 -123.8206887 0.80158
4357470 39.3637999 429330 -123.8203405 0.80165
4357440 39.3635247 429270 -123.8210337 0.48568
4357440 39.3635272 429300 -123.8206855 0.64096
4357440 39.3635296 429330 -123.8203373 0.63193
4357440 39.3635321 429360 -123.8199891 0.51302
4357410 39.3632051 428670 -123.8279946 0.35262
4357410 39.3632076 428700 -123.8276464 0.37378
4357410 39.3632569 429300 -123.8206823 0.38019
4357410 39.3632593 429330 -123.8203341 0.43385
4357410 39.3632618 429360 -123.8199859 0.40333
4357380 39.3629595 428970 -123.8245094 0.49738
4357380 39.3629939 429390 -123.8196346 0.34425
4357350 39.3627261 429420 -123.8192832 0.50740
4357320 39.3624239 429030 -123.8238067 0.40481
4357320 39.3624263 429060 -123.8234584 0.40125
4357320 39.3624288 429090 -123.8231102 0.35364
4357320 39.3624583 429450 -123.8189318 0.73723
4357290 39.3621536 429030 -123.8238035 0.52368
4357290 39.3621560 429060 -123.8234553 0.70638
4357290 39.3621585 429090 -123.8231071 0.66185
4357290 39.3621609 429120 -123.8227589 0.40133
4357290 39.3621634 429150 -123.8224107 0.34754
4357260 39.3618833 429030 -123.8238003 0.67053
4357260 39.3618857 429060 -123.8234521 0.78371
4357260 39.3618882 429090 -123.8231039 0.50185
4357260 39.3618907 429120 -123.8227557 0.36730
4357260 39.3618931 429150 -123.8224075 0.32886
4357260 39.3618956 429180 -123.8220593 0.34238
4357230 39.3615883 428730 -123.8272791 0.62959
4357230 39.3616179 429090 -123.8231007 0.70224
4357230 39.3616204 429120 -123.8227525 0.70477
4357230 39.3616228 429150 -123.8224043 0.41621
4357230 39.3616253 429180 -123.8220561 0.34107
4357200 39.3613081 428610 -123.8286687 0.34458
4357200 39.3613130 428670 -123.8279723 0.37961
4357200 39.3613155 428700 -123.8276241 0.48313
4357200 39.3613180 428730 -123.8272759 0.50660
4357200 39.3613204 428760 -123.8269277 0.51687
4357200 39.3613550 429180 -123.8220530 0.69619
4357200 39.3613574 429210 -123.8217048 0.31491
4357200 39.3613599 429240 -123.8213566 0.29398
4357170 39.3610378 428610 -123.8286655 0.32114
4357170 39.3610402 428640 -123.8283173 0.38297
4357170 39.3610427 428670 -123.8279691 0.49383
4357170 39.3610452 428700 -123.8276209 0.37083
4357170 39.3610526 428790 -123.8265763 0.40355
4357170 39.3610551 428820 -123.8262281 0.46993
4357170 39.3610576 428850 -123.8258799 0.74085
4357170 39.3610871 429210 -123.8217016 0.44409
4357170 39.3610896 429240 -123.8213534 0.36008
4357170 39.3610945 429300 -123.8206570 0.34195
4357170 39.3610970 429330 -123.8203088 0.34425
4357140 39.3608193 429240 -123.8213502 0.52885
4357140 39.3608218 429270 -123.8210021 0.35475
4357140 39.3608242 429300 -123.8206539 0.37387
4357140 39.3608267 429330 -123.8203057 0.48443
4357140 39.3608291 429360 -123.8199575 0.40345
4357140 39.3608316 429390 -123.8196093 0.45239
